"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","OR","OR_lo","OR_hi","exposure_id","mean_F","n_instruments","instrument_quality","egger_int_p","direction","significant","padj","publishable","notes"
"ebi-a-GCST010014","ebi-a-GCST90011877","Stomach cancer","H. pylori IgG seropositivity","Inverse variance weighted",5,0.760729112680247,0.0894427190999916,1.81267114951905e-17,2.1398358333007,1.79574752414998,2.54985588558453,"ebi-a-GCST010014",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,2.71900672427858e-16,TRUE,""
"ebi-a-GCST010014","ebi-a-GCST90011877","Stomach cancer","H. pylori IgG seropositivity","Inverse variance weighted (fixed effects)",5,0.760729112680247,0.0894427190999916,1.81267114951905e-17,2.1398358333007,1.79574752414998,2.54985588558453,"ebi-a-GCST010014",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,2.71900672427858e-16,TRUE,""
"ebi-a-GCST010014","ebi-a-GCST90011877","Stomach cancer","H. pylori IgG seropositivity","Weighted median",5,0.773715447568268,0.118586185665518,6.82292140020496e-11,2.16780567784146,1.71821596634808,2.73503537909137,"ebi-a-GCST010014",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,6.82292140020496e-10,TRUE,""
"ebi-a-GCST010014","ebi-a-GCST90011877","Stomach cancer","H. pylori IgG seropositivity","Simple mode",5,0.759784534667078,0.174960447172562,0.0122278592124501,2.13781554573059,1.51719321415042,3.01230935186234,"ebi-a-GCST010014",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,0.0262025554552503,TRUE,""
"ebi-a-GCST010014","ebi-a-GCST90011877","Stomach cancer","H. pylori IgG seropositivity","Weighted mode",5,0.757445317695007,0.174372328529582,0.0122160340050071,2.13282057575981,1.51539412520246,3.00180892398317,"ebi-a-GCST010014",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,0.0262025554552503,TRUE,""
"ebi-a-GCST90016616","ebi-a-GCST90011877","Stomach cancer","genus Streptococcus (gut)","Inverse variance weighted",5,0.366729112680247,0.0894427190999916,4.12871505405875e-05,1.44300697387498,1.21096962689428,1.7195056592725,"ebi-a-GCST90016616",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,0.000176944930888232,TRUE,""
"ebi-a-GCST90016616","ebi-a-GCST90011877","Stomach cancer","genus Streptococcus (gut)","Inverse variance weighted (fixed effects)",5,0.366729112680247,0.0894427190999916,4.12871505405875e-05,1.44300697387498,1.21096962689428,1.7195056592725,"ebi-a-GCST90016616",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,0.000176944930888232,TRUE,""
"ebi-a-GCST90016616","ebi-a-GCST90011877","Stomach cancer","genus Streptococcus (gut)","Weighted median",5,0.381141888356496,0.115637554822098,0.000980704827010894,1.46395530888679,1.16706526933526,1.83637128336321,"ebi-a-GCST90016616",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",TRUE,0.00267464952821153,TRUE,""
"ebi-a-GCST90016616","ebi-a-GCST90011877","Stomach cancer","genus Streptococcus (gut)","Simple mode",5,0.365784534667078,0.167103229701036,0.0937995111565231,1.4416445847573,1.03900362854339,2.00031939414277,"ebi-a-GCST90016616",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.156381053238333,FALSE,""
"ebi-a-GCST90016616","ebi-a-GCST90011877","Stomach cancer","genus Streptococcus (gut)","Weighted mode",5,0.364614926181043,0.166590070470333,0.0938286319429999,1.43995941070617,1.03883343665625,1.99597262786928,"ebi-a-GCST90016616",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.156381053238333,FALSE,""
"ebi-a-GCST90016596","ebi-a-GCST90011877","Stomach cancer","genus Prevotella","Inverse variance weighted",5,0.0437291126802474,0.0894427190999916,0.624908005013217,1.04469932075605,0.876710348305126,1.24487713975096,"ebi-a-GCST90016596",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.74988960601586,FALSE,""
"ebi-a-GCST90016596","ebi-a-GCST90011877","Stomach cancer","genus Prevotella","Inverse variance weighted (fixed effects)",5,0.0437291126802474,0.0894427190999916,0.624908005013217,1.04469932075605,0.876710348305126,1.24487713975096,"ebi-a-GCST90016596",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.74988960601586,FALSE,""
"ebi-a-GCST90016596","ebi-a-GCST90011877","Stomach cancer","genus Prevotella","Weighted median",5,0.0595766431680279,0.114111755477342,0.601607444506779,1.06138710593253,0.848672090483244,1.32741797600339,"ebi-a-GCST90016596",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.74988960601586,FALSE,""
"ebi-a-GCST90016596","ebi-a-GCST90011877","Stomach cancer","genus Prevotella","Simple mode",5,0.042784534667078,0.165656795432438,0.808941451298934,1.04371298665538,0.754347015280992,1.44407915249365,"ebi-a-GCST90016596",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.808941451298934,FALSE,""
"ebi-a-GCST90016596","ebi-a-GCST90011877","Stomach cancer","genus Prevotella","Weighted mode",5,0.042784534667078,0.164644746654089,0.807799293408149,1.04371298665538,0.755844834850524,1.44121749370493,"ebi-a-GCST90016596",100,5,"GENOME_WIDE_SIG",NA,"Risk-increasing",FALSE,0.808941451298934,FALSE,""
"ebi-a-GCST90016581","ebi-a-GCST90011877","Stomach cancer","genus Veillonella","Inverse variance weighted",5,-0.0552708873197525,0.0894427190999916,0.536610074118223,0.946228791851945,0.794074005026154,1.12753839171464,"ebi-a-GCST90016581",100,5,"GENOME_WIDE_SIG",NA,"Protective",FALSE,0.731741010161213,FALSE,""
"ebi-a-GCST90016581","ebi-a-GCST90011877","Stomach cancer","genus Veillonella","Inverse variance weighted (fixed effects)",5,-0.0552708873197525,0.0894427190999916,0.536610074118223,0.946228791851945,0.794074005026154,1.12753839171464,"ebi-a-GCST90016581",100,5,"GENOME_WIDE_SIG",NA,"Protective",FALSE,0.731741010161213,FALSE,""
"ebi-a-GCST90016581","ebi-a-GCST90011877","Stomach cancer","genus Veillonella","Weighted median",5,-0.03920913601123,0.113920438201604,0.730710924915197,0.961549593470256,0.769131598378682,1.20210588493804,"ebi-a-GCST90016581",100,5,"GENOME_WIDE_SIG",NA,"Protective",FALSE,0.8052149180615,FALSE,""
